der Mann ist hoch|the man is high
ein emotionales Drama|an emotional drama
hoher Konsum|high consumption
neue Vorschriften|new regulations
eine winzige Zelle|a tiny cell
ein langer Flug|a long flight
hartes Holz|hard wood
künstlerische Fähigkeiten|artistic abilities
finanzielle Förderung|financial support
einen Impuls geben|to give a stimulus
gründliche Planung|thorough planning
einen Verdacht äußern|to express a suspicion
eine Ausrede vorgeben|to pretend an excuse
ein lustiger Witz|a funny joke
aufmerksam zuhören|to listen attentively
Mangel an Wasser|lack of water
eine Aufgabe ausführen|to carry out a task
analoge Geräte|analog devices
eine Gefahr befürchten|to fear a danger
hinsichtlich der Kosten|regarding the costs
eine schwarze Katze|a black cat
äußere Einflüsse|external influences
eine große Halle|a large hall
hohe Häufigkeit|high frequency
finanzielles Kapital|financial capital
eine soziale Revolution|a social revolution
eine Aufgabe zuordnen|to assign a task
einen Termin aussetzen|to suspend an appointment
guten Lohn erhalten|to receive good pay
ein großes Vermögen|a large fortune
effektive Verwaltung|effective administration
zumal er müde ist|especially since he is tired
Kohlenstoffdioxid ausstoßen|to emit carbon dioxide
eine ordentliche Wohnung|a neat apartment
das Auto stoppen|to stop the car
der Bundeskanzler spricht|the federal chancellor speaks
einen guten Rat geben|to give good advice
der Bewohner eines Hauses|the resident of a house
gewöhnliche Tage|usual days
ein großartiges Ereignis|a great event
regelmäßig trainieren|to train regularly
verschiedene Varianten|different variations
ein starkes Medikament|a strong medicine
ein goldener Ring|a golden ring
beliebige Fragen stellen|to ask any questions
das HGB lesen|to read the Commercial Code
einen Mitarbeiter versetzen|to transfer an employee
einen Dieb verurteilen|to convict a thief
das Vorjahr erwähnen|to mention the previous year
gezielte Maßnahmen|targeted measures
eine Kommune verwalten|to manage a municipality
einen Mord aufklären|to solve a murder
externe Geräte|external devices
eine spannende Partie|an exciting game
ein stetiges Wachstum|steady growth
eine dumme Entscheidung|a stupid decision
eine Frage erwidern|to reply to a question
die Identität feststellen|to establish identity
ein hoher Stock|a high floor
ein altes Gefäß|an old vessel
tief atmen|to breathe deeply
Milch trinken|to drink milk
große Tiefe|great depth
ein Abenteuer unternehmen|to undertake an adventure
eine moralische Frage|a moral question
die selbe Meinung|the same opinion
den Körper stärken|to strengthen the body
Millimeter messen|to measure millimeters
die FDP wählen|to vote for FDP
ein bewusster Konsument|a conscious consumer
eine Reform durchführen|to carry out a reform
den Richter anrufen|to call the judge
eine Stadt verwandeln|to transform a city
heftig streiten|to argue fiercely
ein Buch widmen|to dedicate a book
Ressourcen bereitstellen|to provide resources
eine Nachricht hinterlassen|to leave a message
Daten analysieren|to analyze data
den Gipfel erreichen|to reach the summit
ein großer Nachteil|a big disadvantage
A gegen B spielen|A versus B play
eine vertraute Stimme|a familiar voice
ein süßes Baby|a sweet baby
eine lange Sitzung|a long meeting
sportliche Aktivitäten|athletic activities
die Wärme genießen|to enjoy the warmth
eventuelle Probleme|possible problems
eine starke Gemeinschaft|a strong community
einen Freund kennenlernen|to meet a friend
ein Unternehmer sprechen|an entrepreneur speaks
eine Dienstleistung anbieten|to offer a service
interne Nachrichten|internal messages
ein Investor suchen|to look for an investor
eine lange Periode|a long period
schriftliche Prüfung|written exam
genetische Forschung|genetic research
ein Einwohner sprechen|an inhabitant speaks
ein Produkt testen|to test a product
eine Stadt umgeben|to surround a city
eine lebendige Stadt|a lively city
die Hände waschen|to wash hands
Hormone regulieren|to regulate hormones
gesunde Lebensmittel|healthy foods
eine Zeile schreiben|to write a line
starke Belastung|heavy burden
braune Haare|brown hair
eine glückliche Ehe|a happy marriage
ein Passagier sprechen|a passenger speaks
glückliche Kindheit|happy childhood
nach Ungarn reisen|to travel to Hungary
ein Verbraucher sprechen|a consumer speaks
große Vielfalt|great diversity
eine Entschuldigung annehmen|to accept an apology
leise flüstern|to whisper quietly
geradezu lächerlich|downright ridiculous
eine Koalition bilden|to form a coalition
eine bunte Mischung|a colorful mix
zukünftige Pläne|future plans
eine Aufgabe erledigen|to complete a task
sichere Existenz|secure existence
ein starker Geruch|a strong smell
aus dem Haus herkommen|to come from the house
ein bequemer Sitz|a comfortable seat
eine neue Serie|a new series
Gefahr ahnen|to sense danger
weite Entfernung|long distance
eine Theorie stützen|to support a theory
genaue Wahrnehmung|precise perception
in der ersten Liga|in the first league
tiefer Schlaf|deep sleep
Rechte einschränken|to restrict rights
eine goldene Kette|a golden chain
eine starke Säure|a strong acid
eine milde Strafe|a mild punishment
ein Franzose sprechen|a Frenchman speaks
ein lautes Konzert|a loud concert
den Kontext verstehen|to understand the context
den Transport organisieren|to organize the transportation
Arbeitsplätze abbauen|to reduce jobs
eine Idee anregen|to stimulate an idea
in Berlin aufwachsen|to grow up in Berlin
eine Sprache beherrschen|to master a language
Reisen nach Island|trips to Iceland
ein rotes Kreuz|a red cross
ein starker Motor|a powerful engine
die Sendung sehen|to watch the broadcast
Aktien handeln|to trade shares
höchstens zehn Minuten|at most ten minutes
trockenes Brot|dry bread
die Ukraine bereisen|to travel through Ukraine
eine Wechselwirkung untersuchen|to study an interaction
in der Bibliothek|in the library
ebenda arbeiten|to work at the same place
hoffentlich morgen|hopefully tomorrow
die Erwachsenen sprechen|the adults speak
die WM verfolgen|to follow the world championship
den Erfolg zurückführen|to attribute the success
das Bruttoinlandsprodukt berechnen|to calculate the GDP
ein friedlicher Tag|a peaceful day
der Verkäufer berät|the salesman advises
vernünftige Argumente|reasonable arguments
eine komplizierte Matrix|a complex matrix
das Paket abholen|to pick up the package
gegenwärtige Lage|current situation
einen Organismus erforschen|to study an organism
natürliche Ressourcen|natural resources
jemandem trauen|to trust someone
ein Vorbild sein|to be a role model
den Bericht vorlegen|to present the report
wahnsinnig teuer|insanely expensive
eine erstaunliche Entdeckung|an astonishing discovery
breit grinsen|to grin broadly
den Koffer packen|to pack the suitcase
emotional reagieren|to react emotionally
ein Projekt erstellen|to create a project
fünfzig Jahre alt|fifty years old
eine Kugel werfen|to throw a ball
ein neues Rad|a new wheel
eine Firma ausbauen|to expand a company
eine Anzeige erstatten|to file a report
der Schwerpunkt liegt|the focus lies
feste Überzeugungen|firm convictions
eine mathematische Ableitung|a mathematical derivation
aus dem Bus aussteigen|to get off the bus
das Chromosom erforschen|to research the chromosome
vergleichbare Daten|comparable data
einem Podcast anhören|to listen to a podcast
eine Tonne Müll|a ton of garbage
einen Preis verleihen|to award a prize
der Arbeiter streikt|the worker strikes
an Bord gehen|to go on board
sich entspannen|to relax
kürzlich erschienen|recently published
ein Buch beurteilen|to review a book
einen Rat geben|to give advice
ein tiefer Schnitt|a deep cut
wertvolle Zeit|valuable time
ein Erzähler spricht|a narrator speaks
reines Gold|pure gold
umstrittene Themen|disputed topics
auf den Berg aufsteigen|to climb the mountain
biologische Prozesse|biological processes
vielfältige Angebote|diverse offers
wirksame Maßnahmen|effective measures
das Haus überlassen|to leave the house
eine Person identifizieren|to identify a person
der Mittelwert berechnen|to calculate the mean
moderner Stil|modern style
eine angenehme Atmosphäre|a pleasant atmosphere
sinnvolle Beschäftigung|meaningful employment
etwas hinzufügen|to add something
indirekte Hinweise|indirect clues
ein langer Zeitraum|a long period of time
aufkommen für Kosten|to pay for costs
20 Grad plus|plus 20 degrees
17 Euro plus 8 Euro|17 euros plus 8 euros
das Plus an dem neuen Job|the plus of this new job
harmonische Schwingungen|harmonic vibrations
ein mathematischer Vektor|a mathematical vector
Sauerstoff einatmen|to inhale oxygen
kritische Äußerungen|critical comments
das Hemd ausziehen|to take off the shirt
die Gewerkschaft treffen|to meet the trade union
Tourismus fördern|to promote tourism
ein flaches Land|a flat country
Ware transportieren|to transport goods
einheimische Tiere|native animals
ein spitzer Winkel|a sharp angle
saurer Regen|acid rain
Freunde vermissen|to miss friends
das Geschlecht bestimmen|to determine the gender
eine attraktive Person|an attractive person
die Aussicht genießen|to enjoy the view
Betriebswirtschaft studieren|to study business administration
ein tapferer Held|a brave hero
sechzig Minuten|sixty minutes
eine chemische Base|a chemical base
eine Bilanz ziehen|to draw a balance
ein großes Geheimnis|a big secret
spätestens morgen|at the latest tomorrow
eine dramatische Szene|a dramatic scene
jemanden ehren|to honor someone
eine Entscheidung treffen|to make a decision
sich an etwas gewöhnen|to get used to something
dorthin hingehen|to go there
vor Kälte zittern|to shiver with cold
ein Dialog führen|to conduct a dialogue
einen Schuss hören|to hear a shot
ein Seminar besuchen|to attend a seminar
moderne Werbung|modern advertising
eine Blume pflücken|to pick a flower
am Schreibtisch arbeiten|to work at the desk
sich verlieben|to fall in love
zurückwinken|to wave back
aus dem Land fliehen|to flee the country
einen Text interpretieren|to interpret a text
olympische Spiele|Olympic Games
verdammt gut|damn good
einen Erfolg anerkennen|to recognize an achievement
die Ruhe bewahren|to keep calm
illegale Aktivitäten|illegal activities
weißer Sand|white sand
jemanden umbringen|to kill someone
die Fraktion treffen|to meet the parliamentary party
ein Gesellschafter werden|to become a shareholder
nach Schweden reisen|to travel to Sweden
eine Verbesserung vorschlagen|to suggest an improvement
worauf warten|to wait for what
sich einsam fühlen|to feel lonely
technische Innovation|technical innovation
moderne Landwirtschaft|modern agriculture
eine Therapie beginnen|to start a therapy
der Ablauf planen|to plan the process
in der Schlange anstehen|to stand in line
eine Bemerkung machen|to make a remark
ein Frankfurter Restaurant|a restaurant in Frankfurt
identische Kopien|identical copies
einen Ball rollen|to roll a ball
Angehörige besuchen|to visit relatives
ein gemütliches Café|a cozy coffee shop
dauerhaft wohnen|to live permanently
eine Garantie geben|to give a guarantee
in Not sein|to be in need
räumliche Trennung|spatial separation
jahrelange Erfahrung|years of experience
großen Respekt haben|to have great respect
die Umwelt gefährden|to endanger the environment
ein breites Spektrum|a wide spectrum
einen Preis vergeben|to award a prize
ein Weber arbeiten|a weaver works
effektive Lösungen|effective solutions
den Eingang finden|to find the entrance
kulturelles Erbe|cultural heritage
ein Erbe erhalten|to receive an inheritance
islamische Kultur|Islamic culture
einem Vorschlag zustimmen|to agree to a proposal
eine radikale Meinung|a radical opinion
der Ausbau planen|to plan the expansion
den Kanal überqueren|to cross the canal
sich registrieren|to register
erfolgreich verhandeln|to negotiate successfully
ein Wandel erleben|to experience change
auf einem Ast sitzen|to sit on a branch
sein Recht ausüben|to exercise one's right
jenseits des Flusses|beyond the river
eine Niederlage unterliegen|to suffer a defeat
