adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
ont[sound:ont_1.mp3]                                   |клятва
opa[sound:opa_1.mp3]                                   |старшая сестра
opichmoq[sound:opichmoq_1.mp3]                         |носить на закорках, на спине
oppoq[sound:oppoq_1.mp3]                               |совершенно белый
oq[sound:oq_1.mp3]                                     |белый, седой
oqarmoq[sound:oqarmoq_1.mp3]                           |белеть, становиться белым
oqizmoq[sound:oqizmoq_1.mp3]                           |спускать по воде, сплавлять
oqlamoq[sound:oqlamoq_1.mp3]                           |белить, производить побелку
oqmoq[sound:oqmoq_1.mp3]                               |течь, протекать
oqsamoq[sound:oqsamoq_1.mp3]                           |хромать, прихрамывать [см. choʻloqlanmoq]
oqsoq[sound:oqsoq_1.mp3]                               |хромой [см. choʻloq]
oqshom[sound:oqshom_1.mp3]                             |сумерки, вечер
oriq[sound:oriq_1.mp3]                                 |худой, тощий
orol[sound:orol_1.mp3]                                 |остров
orqa[sound:orqa_1.mp3]                                 |1. спина; 2. зад, задняя часть
orqalamoq[sound:orqalamoq_1.mp3]                       |взваливать на спину, нести на спине
orqali[sound:orqali_1.mp3]                             |через, по, посредством
ortiq[sound:ortiq_1.mp3]                               |больше
ortiqcha[sound:ortiqcha_1.mp3]                         |лишний
orzu[sound:orzu_1.mp3]                                 |желание, мечта [см. maqsad, niyat]
orzu qilmoq[sound:orzu_qilmoq_1.mp3]                   |желать, мечтать
osmon[sound:osmon_1.mp3]                               |небо
osmoq[sound:osmoq_1.mp3]                               |вешать, повесить
oson[sound:oson_1.mp3]                                 |лёгкий, нетрудный
osonlashmoq[sound:osonlashmoq_1.mp3]                   |облегчаться, становиться более лёгким
ost[sound:ost_1.mp3]                                   |низ, дно
ostki[sound:ostki_1.mp3]                               |нижний
ostona[sound:ostona_1.mp3]                             |порог, подворотня
ot[sound:ot_1.mp3]                                     |1. лошадь, конь; 2. имя [см. ism], кличка, название
ota[sound:ota_1.mp3]                                   |отец
otajon[sound:otajon_1.mp3]                             |1. папочка; 2. отец
ota-ona[sound:ota-ona_1.mp3]                           |родители
otlanmoq[sound:otlanmoq_1.mp3]                         |готовиться, собираться
otmoq[sound:otmoq_1.mp3]                               |1. бросать, кидать, метать; 2. стрелять
ov[sound:ov_1.mp3]                                     |охота, ловля
ovlamoq[sound:ovlamoq_1.mp3]                           |охотиться, ловить
ovoz[sound:ovoz_1.mp3]                                 |голос, звук
ovoz bermoq[sound:ovoz_bermoq_1.mp3]                   |голосовать
ovqat[sound:ovqat_1.mp3]                               |пища, кушанье, еда, питание
ovqatlanmoq[sound:ovqatlanmoq_1.mp3]                   |есть, кушать
ovunmoq[sound:ovunmoq_1.mp3]                           |перестать плакать, перестать капризничать
ovchi[sound:ovchi_1.mp3]                               |охотник, ловец
ohak[sound:ohak_1.mp3]                                 |известь, извёстка
oxir[sound:oxir_1.mp3]                                 |конец, окончание, предел
oxirgi[sound:oxirgi_1.mp3]                             |последний, конечный
oy[sound:oy_1.mp3]                                     |1. луна; 2. месяц
oydin[sound:oydin_1.mp3]                               |лунный, освещённый луной
oyi[sound:oyi_1.mp3]                                   |мама, мать
oylik[sound:oylik_1.mp3]                               |месячный, месячная зарплата [см. maosh]
oyna[sound:oyna_2.mp3]                                 |стекло, зеркало
oynachi[sound:oynachi_1.mp3]                           |стекольщик
oyoq[sound:oyoq_1.mp3]                                 |нога, ноги, ножка
oz[sound:oz_1.mp3]                                     |мало, немного
ozaymoq[sound:ozaymoq_1.mp3]                           |уменьшаться, убавляться, убывать
ozmoq[sound:ozmoq_1.mp3]                               |худеть, становиться худым
ozod[sound:ozod_1.mp3]                                 |свободный, вольный
ozoda[sound:ozoda_1.mp3]                               |чистый
ozodlik[sound:ozodlik_1.mp3]                           |свобода, воля
ozod qilmoq[sound:ozod_qilmoq_1.mp3]                   |освободить
ogʻayni[sound:og‘ayni_1.mp3]                           |приятель, друг
ogʻir[sound:og‘ir_1.mp3]                               |тяжёлый
ogʻiz[sound:og‘iz_1.mp3]                               |рот, уста, зев
ogʻrimoq[sound:og‘rimoq_1.mp3]                         |болеть, причинять боль
ogʻriq[sound:og‘riq_1.mp3]                             |боль
ogʻzaki[sound:og‘zaki_1.mp3]                           |устный
osh[sound:osh_1.mp3]                                   |1. плов [см. palov]; 2. горячая пища
oshmoq[sound:oshmoq_1.mp3]                             |возрастать, повышаться, умножаться
