of|IO|The color of the car is red.
stilt|NN1|The house was built on stilts.
personification|NN1|Personification gave the tree life.
polka|NN1|They danced the polka all night.
unplug|VV0|Please unplug the charger.
ogre|NN1|The ogre lived in a cave.
indentation|NN1|The indentation was deep.
forerunner|NN1|He was a forerunner in the field.
tease|NN1|She was the tease of the group.
corporal|JJ|He received corporal punishment.
dragonfly|NN1|The dragonfly hovered near the pond.
tranquilizer|NN1|The tranquilizer took effect quickly.
prefix|NN1|The prefix changed the meaning.
thunderous|JJ|The applause was thunderous.
contort|VV0|He can contort his body.
dismayed|JJ|She felt dismayed by the news.
drapery|NN1|The drapery was velvet.
rudeness|NN1|Rudeness is unacceptable here.
charlatan|NN1|The charlatan fooled many.
deathly|JJ|The room was deathly silent.
beefy|JJ|He had a beefy build.
de|RG|The plot de thickened.
hew|VV0|They hew the tree carefully.
signage|NN1|The signage was clear.
unimpressed|JJ|She was unimpressed with the show.
tomography|NN1|Tomography revealed the issue.
chronicler|NN1|The chronicler recorded events.
solver|NN1|She is a problem solver.
enjoin|VV0|They enjoin the rules strictly.
deep-sea|JJ|They explored deep-sea mysteries.
waffle|VV0|He tends to waffle in meetings.
hardcopy|NN1|The hardcopy is available.
chromium|NN1|Chromium is used in alloys.
life-cycle|NN1|The product’s life-cycle was studied.
alimony|NN1|He paid alimony every month.
vehicular|JJ|Vehicular accidents are common.
co-conspirator|NN1|The co-conspirator was caught.
indefensible|JJ|The action was indefensible.
romp|NN1|The romp was fun.
forestall|VV0|They tried to forestall the decision.
unwrap|VV0|She will unwrap the gift.
herder|NN1|The herder watched the sheep.
heartwarming|JJ|The story was heartwarming.
low-tech|JJ|They used low-tech solutions.
swig|NN1|He took a swig of water.
nonmedical|JJ|The advice was nonmedical.
externalize|VV0|They externalize their feelings.
divider|NN1|The divider was placed carefully.
retort|NN1|His retort was sharp.
antipathy|NN1|He felt antipathy towards them.
prosocial|JJ|They taught prosocial behavior.
inexorable|JJ|The tide was inexorable.
salami|NN1|The salami was spicy.
three-bedroom|JJ|They bought a three-bedroom house.
capitulate|VV0|They refused to capitulate.
scrunch|VV0|She scrunches the paper.
overzealous|JJ|His efforts were overzealous.
gas|VV0|They gas the engine.
overheated|JJ|The engine was overheated.
snare|VV0|They snare rabbits for food.
steadfastly|RG|He stood steadfastly by his beliefs.
blanch|VV0|She will blanch the vegetables.
recollect|VV0|She tried to recollect the details.
filly|NN1|The filly was fast.
harbour|NN1|The ship docked at the harbour.
stateroom|NN1|The stateroom was luxurious.
shredder|NN1|The shredder broke down.
dehumanize|VV0|They dehumanize their enemies.
trot|NN1|The horse’s trot was steady.
rinse|NN1|The rinse left the clothes clean.
cleave|VV0|They cleave the wood easily.
overcast|JJ|The sky was overcast.
kuwaiti|NN1|The Kuwaiti spoke softly.
downloadable|JJ|The content was downloadable.
derivation|NN1|The derivation was complex.
red-hot|JJ|The stove was red-hot.
wick|NN1|The candle’s wick was long.
raven|JJ|Her hair was raven black.
c-section|NN1|The c-section was scheduled.
bide|VV0|He will bide his time.
nuzzle|VV0|The cat will nuzzle her.
antibacterial|JJ|The soap was antibacterial.
unraveled|JJ|The mystery unraveled quickly.
uncharacteristically|RG|He was uncharacteristically quiet.
plausibility|NN1|The plausibility was questioned.
half-hearted|JJ|His apology was half-hearted.
oligarch|NN1|The oligarch was powerful.
subsidiary|JJ|The company is a subsidiary.
flowery|JJ|Her speech was flowery.
pusher|NN1|The pusher was arrested.
skimpy|JJ|Her outfit was skimpy.
class|VV0|They class the items.
binge|VV0|They binge on shows.
gobbler|NN1|The gobbler ate fast.
unstructured|JJ|The essay was unstructured.
treatable|JJ|The disease is treatable.
revolting|JJ|The smell was revolting.
radioactivity|NN1|The radioactivity was contained.
coolant|NN1|The coolant leaked.
styrofoam|NN1|The cup was styrofoam.
chai|NN1|She drank chai every morning.
back-and-forth|JJ|The debate was back-and-forth.
idealize|VV0|They idealize their heroes.
overeat|VV0|They tend to overeat during holidays.
untangle|VV0|She will untangle the wires.
ambulatory|JJ|The patient was ambulatory.
doodle|NN1|His doodle was funny.
unsupervised|JJ|The kids were unsupervised.
checked|JJ|The list was checked twice.
stubbornness|NN1|His stubbornness was frustrating.
ballistics|NN1|Ballistics helped solve the case.
correspondingly|RG|Profits increased correspondingly.
al-qaida|JJ|The al-Qaida network was targeted.
incomparable|JJ|Her talent is incomparable.
sought-after|JJ|He is a sought-after expert.
backpack|VV0|They backpack across Europe.
undoing|NN1|His undoing was pride.
blindfold|NN1|She wore a blindfold.
excision|NN1|The excision was successful.
corporeal|JJ|He had a corporeal presence.
fanaticism|NN1|His fanaticism was evident.
prospectus|NN1|The prospectus was detailed.
individualize|VV0|They individualize lessons.
centuries-old|JJ|The tree was centuries-old.
y'all|PPY|Y'all are welcome to join.
tiptoe|NN1|He moved on tiptoe.
unabashed|JJ|She was unabashed in her opinion.
bother|NN1|He is a constant bother.
posthumous|JJ|The award was posthumous.
martian|NN1|The Martian was curious.
whiting|NN1|They caught whiting in the river.
covertly|RG|They operated covertly.
evacuee|NN1|The evacuee found shelter.
overcome|JJ|He was overcome with joy.
photocopy|NN1|The photocopy was clear.
insufficiently|RG|The data was insufficiently detailed.
morph|NN1|The morph was gradual.
weekly|RG|They meet weekly for updates.
anon|RG|He will arrive anon.
neckline|NN1|The neckline was low.
flowering|NN1|The flowering was beautiful.
pug|NN1|The pug barked loudly.
gilt|NN1|The frame was gilt.
sorbet|NN1|The sorbet was refreshing.
pollination|NN1|Pollination is crucial for plants.
sunlit|JJ|The room was sunlit.
viewfinder|NN1|The viewfinder was clear.
webcam|NN1|The webcam is on.
misogynistic|JJ|His comments were misogynistic.
dusky|JJ|The room had a dusky glow.
curveball|NN1|He threw a curveball.
hyperactive|JJ|The child was hyperactive.
air-conditioning|NN1|The air-conditioning was on.
oversimplify|VV0|Don't oversimplify the problem.
cheque|NN1|The cheque was signed.
myopic|JJ|His view was myopic.
silhouette|VV0|The mountains silhouette at sunset.
forty-one|MC1|He is forty-one years old.
suffuse|VV0|The room was suffused with light.
cheeky|JJ|She gave a cheeky smile.
one-to-one|JJ|They had a one-to-one meeting.
toolkit|NN1|The toolkit was handy.
desist|VV0|They desist from arguing.
one-liner|NN1|His one-liner was funny.
lumbar|NN1|The lumbar support was good.
dioxin|NN1|Dioxin is harmful.
generalizability|NN1|The study's generalizability was limited.
unhook|VV0|They unhook the latch.
fracturing|NN1|The fracturing of the rock was evident.
irritant|NN1|The chemical was an irritant.
connective|JJ|The tissue was connective.
antiviral|JJ|The drug was antiviral.
disembodied|JJ|The voice was disembodied.
low-risk|JJ|It's a low-risk investment.
boson|NN1|The boson was detected.
peeling|NN1|The peeling was easy.
euphoric|JJ|He felt euphoric.
throwaway|NN1|It was just a throwaway comment.
one-room|JJ|They lived in a one-room apartment.
robustness|NN1|The system's robustness was tested.
methanol|NN1|Methanol is toxic.
expeditionary|JJ|They joined the expeditionary force.
boat|VV0|They boat across the lake.
helix|NN1|The DNA helix was visible.
ream|NN1|He bought a ream of paper.
snicker|VV0|They snicker at his jokes.
midlife|JJ|He had a midlife crisis.
agitator|NN1|The agitator stirred trouble.
rigging|NN1|The rigging was secure.
carelessness|NN1|Carelessness led to the accident.
grotto|NN1|The grotto was hidden.
metabolize|VV0|They metabolize food quickly.
subliminal|JJ|The message was subliminal.
webmaster|NN1|The webmaster updated the site.
op-ed|JJ|She wrote an op-ed piece.
generative|JJ|The model was generative.
chisel|NN1|He used a chisel to carve.
molar|NN1|The molar was painful.
savanna|NN1|The savanna was dry.
orderly|NN1|The orderly cleaned the room.
kitty|JJ|She had a kitty costume.
nontoxic|JJ|The paint was nontoxic.
snorkel|VV0|They snorkel in the ocean.
xenophobia|NN1|Xenophobia is a growing issue.
mountaineer|NN1|The mountaineer reached the summit.
anti-aircraft|JJ|They installed anti-aircraft guns.
snowshoe|NN1|They wore snowshoes in the snow.
elongation|NN1|The elongation was measured.
commenting|NN1|His commenting was insightful.
hard-hitting|JJ|It was a hard-hitting report.
carer|NN1|The carer was kind.
promiscuity|NN1|Promiscuity is not tolerated.
pet|JJ|She has a pet hamster.
steer|NN1|The steer was stubborn.
unaffiliated|JJ|He was unaffiliated with any party.
courtier|NN1|The courtier bowed.
human-right|JJ|Human-right issues were discussed.
congruence|NN1|The congruence was perfect.
adjuster|NN1|The adjuster arrived quickly.
stepdaughter|NN1|His stepdaughter is kind.
high-flying|JJ|He had a high-flying career.
anti-semite|NN1|The anti-Semite was shunned.
tarragon|NN1|She added tarragon to the dish.
court-martial|NN1|The court-martial was swift.
communicating|NN1|Their communicating was clear.
aurora|NN1|The aurora was breathtaking.
disenchanted|JJ|He was disenchanted with the results.
elitism|NN1|Elitism is prevalent here.
zero-sum|JJ|It was a zero-sum game.
hyper|JJ|The kids were hyper today.
quarter-century|NN1|A quarter-century passed quickly.
naively|RG|She naively trusted him.
raspy|JJ|His voice was raspy.
influencer|NN1|The influencer promoted the brand.
incarnate|JJ|He was evil incarnate.
bookkeeping|NN1|Bookkeeping is essential.
self-perception|NN1|Self-perception shapes behavior.
roughness|NN1|The roughness of the surface was evident.
hernia|NN1|He had surgery for a hernia.
intergroup|JJ|The intergroup relations improved.
hunted|JJ|The hunted animal was scared.
feverishly|RG|She worked feverishly.
dickhead|NN1|He’s such a dickhead.
vole|NN1|The vole burrowed underground.
self-evaluation|NN1|Self-evaluation is crucial for growth.
incentivize|VV0|They incentivize employees to work harder.
schmuck|NN1|He felt like a schmuck.
eskimo|NN1|The Eskimo built an igloo.
meow|VV0|The cat meows loudly.
co-star|VV0|She will co-star in the film.
spook|NN1|The spook vanished.
undemocratic|JJ|The process was undemocratic.
misconstrue|VV0|Don’t misconstrue my words.
viewership|NN1|The viewership increased.
well-connected|JJ|He is well-connected in the industry.
left-handed|RG|She writes left-handed.
spectrometer|NN1|The spectrometer was calibrated.
valedictorian|NN1|The valedictorian gave a speech.
algal|JJ|Algal blooms are harmful.
interreligious|JJ|They held an interreligious dialogue.
afflicted|JJ|The afflicted man sought help.
mangled|JJ|The mangled car was towed.
legalized|JJ|The practice was legalized.
despondent|JJ|He felt despondent after the loss.
unaccustomed|JJ|She was unaccustomed to the cold.
exegesis|NN1|The exegesis was thorough.
postman|NN1|The postman delivered letters.
licensee|NN1|The licensee signed the contract.
clarion|NN1|The clarion call was heard.
lust|VV0|He lusts after power.
nesting|JJ|The nesting birds were quiet.
programmable|JJ|The device was programmable.
ingrained|JJ|The habit was ingrained.
autographed|JJ|The autographed photo was valuable.
outsized|JJ|His personality was outsized.
unabated|JJ|The storm continued unabated.
hitman|NN1|The hitman was hired.
backswing|NN1|His backswing was perfect.
front-line|JJ|He was a front-line worker.
intensified|JJ|The campaign was intensified.
moonlit|JJ|The moonlit path was beautiful.
progressivism|NN1|Progressivism influenced policies.
biggie|NN1|That’s not a biggie.
surround|NN1|The surround was damaged.
bulimia|NN1|Bulimia is a serious disorder.
sorghum|NN1|They planted sorghum in the field.
arresting|JJ|His arresting eyes drew attention.
crafted|JJ|The chair was finely crafted.
meatloaf|NN1|The meatloaf was delicious.
at-home|JJ|She runs an at-home business.
overcrowd|VV0|Don't overcrowd the room.
squirt|NN1|He took a squirt of ketchup.
thirst|VV0|They thirst for knowledge.
hodgepodge|NN1|The collection was a hodgepodge.
shoals|NN2|The fish swam in shoals.
entrapment|NN1|They claimed entrapment as a defense.
nationalization|NN1|The nationalization was controversial.
lumbering|JJ|The lumbering giant moved slowly.
abbot|NN1|The abbot led the monks.
dark-skinned|JJ|He is a dark-skinned man.
subspace|NN1|The data was sent through subspace.
replant|VV0|They will replant the trees.
osteoarthritis|NN1|Osteoarthritis affects many people.
locator|NN1|The locator was activated.
nip|NN1|He took a nip of whiskey.
revealed|JJ|The revealed secrets shocked everyone.
frostbite|NN1|He suffered frostbite on his toes.
woodworking|NN1|He enjoys woodworking as a hobby.
diamondback|NN1|The diamondback rattlesnake was coiled.
undiagnosed|JJ|The condition was undiagnosed for years.
puma|NN1|The puma prowled silently.
dilation|NN1|The dilation was monitored.
mmmm|UH|Mmmm, this tastes great!
spongy|JJ|The cake was spongy.
acrid|JJ|The smell was acrid.
geisha|NN1|The geisha performed gracefully.
decoding|NN1|The decoding was successful.
workmanship|NN1|The workmanship was excellent.
knoll|NN1|The house sat on a knoll.
bios|NN2|He saved the BIOS settings.
pedophilia|NN1|Pedophilia is illegal.
gleeful|JJ|She gave a gleeful laugh.
underbrush|NN1|They hid in the underbrush.
none|RG|None could deny it.
collectibles|NN2|The store sold collectibles.
first-half|JJ|The first-half performance was strong.
frisk|VV0|The guard will frisk you.
dyad|NN1|The dyad worked well together.
musicianship|NN1|Her musicianship was impressive.
coptic|JJ|The Coptic church is ancient.
restful|JJ|The vacation was restful.
