|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
219.001|177|adj|richtig||Hast du die richtige Entscheidung getroffen?|correct, right|right|Did you make the right decision?|adjective|Alle wissen die richtige Antwort.|Everybody knows the correct answer.|Haen;du;der;richtig;Entscheidung;treffen
220|178|adj|stark||Der starke Wind wehte durch die Straßen.|strong|strong|The strong wind blew through the streets.|adjective|Herr Müller nimmt starke Schmerztabletten.|Mr. Müller takes strong pain killers.|der;stark;Wind;wehen;durch;der;Straße
221|179|verb|brauchen|brauchen, braucht, brauchte, hat gebraucht|Wir brauchen dringend mehr Informationen.|to need|to need|We urgently need more information.|verb|Brauchst du Hilfe?|Do you need any help?|wir;brauchen;dringend;mehr;Information
222|180|die|die Hand|die Hände|Er reichte mir die Hand, um mir zu helfen.|hand|hand|He reached out his hand to help me.|noun|Ich schreibe mit meiner rechten Hand.|I write with my right hand.|er;reichen;mir;der;Hand;um;mir;zu;helfen
223|181|adv|etwa||Etwa 20% der Teilnehmer zeigten eine positive Reaktion.|about, approximately|about|About 20% of the participants showed a positive reaction.|adverb|Die Führung dauert etwa eine Stunde.|The tour lasts about one hour.|etwa;20;%;der;Teilnehmer;zeigen;ein;positiv;Reaktion
223.001|181|adv|etwa||Es dauert etwa zwei Stunden, um dorthin zu fahren.|about, approximately|approximately|It takes approximately two hours to get there.|adverb|Die Führung dauert etwa eine Stunde.|The tour lasts about one hour.|es;dauern;etwa;zwei;Stunde;um;dorthin;zu;fahren
224|181|part|etwa||Es dauert etwa eine Stunde, um dorthin zu gelangen.|(expressing surprise)|(expressing surprise)|It takes about an hour to get there. |particle|Hat er etwa noch nicht angerufen?|He hasn’t called yet after all?|es;dauern;etwa;ein;Stunde;um;dorthin;zu;gelangen
225|182|adj|weitere|weitere, weiterer, weiteres|Der Entwickler fügte weitere Features zur Anwendung hinzu.|additional, further|additional|The developer added additional features to the application.|adjective|Weitere Informationen finden Sie im Internet.|Further information can be found on the internet.|der;Entwickler;hinzufügen;weit;Feature;zu;Anwendung;hinzu
225.001|182|adj|weitere|weitere, weiterer, weiteres|Für die Studie sind weitere Experimente erforderlich.|additional, further|further|Further experiments are required for the study.|adjective|Weitere Informationen finden Sie im Internet.|Further information can be found on the internet.|für;der;Studie;sein;weit;Experiment;erforderlich
226|183|das|das Ende|die Enden|Am Ende des Films gab es eine überraschende Wendung.|end|end|At the end of the movie, there was a surprising twist.|noun|Das Ende des Romans ist wirklich spannend.|The end of the novel is really exciting.|an;Ende;der;Film;geben;es;ein;überraschend;Wendung
227|184|verb|schreiben|schreiben, schreibt, schrieb, hat geschrieben|Er schreibt einen Brief an seine Mutter.|to write|to write|He is writing a letter to his mother.|verb|Er schreibt einen Brief an seine Freundin.|He’s writing a letter to his girlfriend.|er;schreiben;ein;Brief;an;sein;Mutter
228|185|pron|solch||Er hat solch ein großes Talent für Musik.|such|such|He has such a great talent for music.|pronoun|Unter solchen Bedingungen kann ich nicht arbeiten.|I can’t work in such conditions.|er;haben;solch;ein;groß;Talent;für;Musik
229|186|adv|nie||Er hatte nie zuvor so eine Herausforderung angenommen.|never|never|He had never accepted such a challenge before.|adverb|Das hast du mir nie erzählt.|You never told me that.|er;haben;nie;zuvor;so;ein;Herausforderung;annehmen
230|187|der|der Fall|die Fälle|Im Fall eines Fehlers wird der Prozess automatisch gestoppt.|fall, case|fall|In the case of an error, the process will be stopped automatically.|noun|Der Richter erklärt den Fall für geschlossen.|The judge will close the case.|in;Fall;ein;Fehler;werden;der;Prozess;automatisch;stoppen
230.001|187|der|der Fall|die Fälle|Der Fall wurde von der Polizei untersucht.|fall, case|case|The case was investigated by the police.|noun|Der Richter erklärt den Fall für geschlossen.|The judge will close the case.|der;Fall;werden;von;der;Polizei;untersuchen
231|188|adj|schön||Der Sonnenuntergang am Meer war wirklich schön.|beautiful, pleasant, nice|beautiful|The sunset at the sea was really beautiful.|adjective|Von hier aus hat man einen schönen Blick auf die Stadt.|From here you have a beautiful view of the city.|der;Sonnenuntergang;an;Meer;sein;wirklich;schön
231.001|188|adj|schön||Der Spaziergang im Park war wirklich schön.|beautiful, pleasant, nice|pleasant|The walk in the park was really pleasant.|adjective|Von hier aus hat man einen schönen Blick auf die Stadt.|From here you have a beautiful view of the city.|der;Spaziergang;in;Park;sein;wirklich;schön
231.002|188|adj|schön||Es war ein schöner Tag, perfekt für einen Ausflug.|beautiful, pleasant, nice|nice|It was a nice day, perfect for a trip.|adjective|Von hier aus hat man einen schönen Blick auf die Stadt.|From here you have a beautiful view of the city.|es;sein;ein;schön;Tag;perfekt;für;ein;Ausflug
232|189|adj|wirklich||Das war ein wirklich aufregendes Abenteuer.|real, actual|real|That was a real exciting adventure.|adjective|Sein Besuch ist eine wirkliche Überraschung.|His visit is a real surprise.|der;sein;ein;wirklich;aufregend;Abenteuer
232.001|189|adj|wirklich||Das war die wirkliche Ursache des Problems.|real, actual|actual|That was the actual cause of the problem.|adjective|Sein Besuch ist eine wirkliche Überraschung.|His visit is a real surprise.|der;sein;der;wirklich;Ursache;der;Problem
233|189|adv|wirklich||Ich habe wirklich keine Ahnung, was passiert ist.|really, actually|really|I really have no idea what happened.|adverb|Ich mag dich wirklich gern.|I really like you.|ich;haben;wirklich;kein;Ahnung;was;passieren;sein
233.001|189|adv|wirklich||Er ist wirklich ein talentierter Musiker.|really, actually|actually|He is actually a talented musician.|adverb|Ich mag dich wirklich gern.|I really like you.|er;sein;wirklich;ein;talentiert;Musiker
234|190|pron|denen (pl, Dativ)||Die Manager, denen das Budget gehört, entscheiden.|whom, that, those|whom|The managers to whom the budget belongs decide.|pronoun|Das sind Klara und Lisa, mit denen ich zusammen in einer Wohnung lebe.|This is Klara and Lisa, with whom I live in an apartment.|der;Manager;der;der;Budget;gehören;entscheiden
234.001|190|pron|denen (pl, Dativ)||Die Chemikalien, denen wir begegnet sind, sind hochgiftig.|whom, that, those|that|The chemicals that we encountered are highly toxic.|pronoun|Das sind Klara und Lisa, mit denen ich zusammen in einer Wohnung lebe.|This is Klara and Lisa, with whom I live in an apartment.|der;Chemikalie;der;wir;begegnen;sein;sein;hochgiftig
234.002|190|pron|denen (pl, Dativ)||Die Teams, denen Ressourcen zugewiesen wurden, arbeiten gut.|whom, that, those|those|The teams, those who were assigned resources, work well.|pronoun|Das sind Klara und Lisa, mit denen ich zusammen in einer Wohnung lebe.|This is Klara and Lisa, with whom I live in an apartment.|der;Team;der;Ressource;zugewiesen;werden;arbeiten;gut
235|191|verb|nennen|nennen, nennt, nannte, hat genannt|Sie nannte ihren Hund Max, weil er so lebendig war.|to name, call|to name|She named her dog Max because he was so lively.|verb|Mein Freund heißt Alexander, aber alle nennen ihn Alex.|My friend’s name ist Alexander, but everybody calls him Alex.|sie;nennen;ihr;Hund;Max;weil;er;so;lebendig;sein
235.001|191|verb|nennen|nennen, nennt, nannte, hat genannt|Wie nennst du diesen Berg in deiner Sprache?|to name, call|to call|What do you call this mountain in your language?|verb|Mein Freund heißt Alexander, aber alle nennen ihn Alex.|My friend’s name ist Alexander, but everybody calls him Alex.|wie;nennen;du;dieser;Berg;in;dein;Sprache
236|192|adv|warum||Er wusste nicht, warum der Plan so scheiterte.|why|why|He didn’t know why the plan failed like that.|adverb|Warum hast du mich angerufen?|Why did you call me?|er;wusste;nicht;warum;der;Plan;so;scheitern
237|193|verb|ziehen|ziehen, zieht, zog, hat gezogen|Er zieht seine Jacke schnell über den Kopf.|to pull, move|to pull|He pulls his jacket quickly over his head.|verb|Man muss an der Tür ziehen, um sie zu öffnen.|You have to pull on the door to open it.|er;ziehen;sein;Jacke;schnell;über;der;Kopf
237.001|193|verb|ziehen|ziehen, zieht, zog, hat gezogen|Die Firma plante, in ein größeres Büro zu ziehen.|to pull, move|to move|The company planned to move to a larger office.|verb|Man muss an der Tür ziehen, um sie zu öffnen.|You have to pull on the door to open it.|der;Firma;planen;in;ein;größ;Büro;zu;ziehen
238|194|das|das Wort|die Wörter|Er konnte kein einziges Wort sagen, so schüchtern war er.|word|word|He couldn’t say a single word, he was that shy.|noun|Ich verstehe kein Wort.|I can’t understand a word.|er;können;kein;einzig;Wort;sagen;so;schüchtern;sein;er
239|195|pron|darauf|darauf, drauf|Ich habe das Buch und schreibe meine Notizen darauf.|on it, to it|on it|I have the book and write my notes on it.|pronoun|Das Geschenk ist offensichtlich für Marlene, ihr Name steht darauf.|This gift’s clearly for Marlene; it has her name on it.|ich;haben;der;Buch;und;schreiben;mein;Notiz;darauf
239.001|195|pron|darauf|darauf, drauf|Ich habe darauf gewartet, dass er zurückruft.|on it, to it|to it|I was waiting for him to call back.|pronoun|Das Geschenk ist offensichtlich für Marlene, ihr Name steht darauf.|This gift’s clearly for Marlene; it has her name on it.|ich;haben;darauf;warten;dass;er;zurückrufen
240|196|adv|eben|eben, ebend|Ich habe eben erfahren, dass die Sitzung verschoben wurde.|just|just|I just found out the meeting has been postponed.|adverb|Ich versuche, ihn eben auf dem Handy zu erreichen.|I am just trying to reach him on his mobile phone.|ich;haben;eben;erfahren;dass;der;Sitzung;verschieben;werden
241|196|part|eben|eben, ebend|Ich habe eben den neuesten Patch installiert.|just, exactly|just|I just installed the latest patch.|particle|Das kann man eben nicht ändern.|There’s nothing you can do about it.|ich;haben;eben;der;neu;Patch;installieren
241.001|196|part|eben|eben, ebend|Eben! Du hast genau das gesagt, was ich meinte.|just, exactly|exactly|Exactly! You said exactly what I meant.|particle|Das kann man eben nicht ändern.|There’s nothing you can do about it.|eben;du;haben;genau;der;sagen;wer;ich;meinen
242|197|die|die Seite|die Seiten|Die rechte Seite des Bildes ist besonders detailliert.|side, page|side|The right side of the picture is particularly detailed.|noun|Das Buch hat 300 Seiten.|The book has 300 pages.|der;rechter;Seite;der;Bild;sein;besonders;detailliert
242.001|197|die|die Seite|die Seiten|Die Seite des Buches war bereits abgenutzt.|side, page|page|The page of the book was already worn out.|noun|Das Buch hat 300 Seiten.|The book has 300 pages.|der;Seite;der;Buch;sein;bereits;abnutzen
243|198|der, das|das Teil|die Teile|Er gab mir das Teil, das ich reparieren musste.|part|part|He gave me the part I needed to fix.|noun|Die Ausstellung besteht aus drei Teilen.|The exhibition consists of three parts.|er;geben;mir;der;Teil;der;ich;reparieren;musste
244|199|adj|jung||Die junge Künstlerin malt beeindruckende Bilder.|young|young|The young artist paints impressive pictures.|adjective|Sie war noch jung, als sie Kinder bekam.|She was still young when she had children.|der;jung;Künstlerin;malen;beeindruckend;Bild
245|200|num|vier||Ich habe vier Karten für das Konzert gekauft.|four|four|I bought four tickets for the concert.|number|Oma hat vier Hunde.|Grandma has four dogs.|ich;haben;vier;Karte;für;der;Konzert;kaufen
246|201|adj|besser||Die neue Therapie hat sich als viel besser wirksam erwiesen.|better|better|The new therapy has proven to be much more effective.|adjective|Kevin kann besser schwimmen als sein Bruder.|Kevin swims better than his brother.|der;neu;Therapie;haben;sich;als;viel;gut;wirksam;erweisen
247|202|adv|fast||Ich habe fast alle Hausaufgaben erledigt.|almost|almost|I almost finished all my homework.|adverb|Ich hätte fast den Bus verpasst.|I almost missed the bus.|ich;haben;fast;aller;Hausaufgabe;erledigen
248|203|adj|schnell||Mit einem schnellen Griff fing er den Ball.|quick, fast|quick|With a quick grab, he caught the ball.|adjective|Mario kann sehr schnell rennen.|Mario can run very fast.|mit;ein;schnell;Griff;fing;er;der;Ball
248.001|203|adj|schnell||Das Internet hier ist unglaublich schnell.|quick, fast|fast|The internet here is incredibly fast.|adjective|Mario kann sehr schnell rennen.|Mario can run very fast.|der;Internet;hier;sein;unglaublich;schnell
249|204|die|die Stadt|die Städte|Die Stadt erleuchtet nachts in tausend Farben.|city, town|city|The city lights up at night in a thousand colors.|noun|London, Paris und Berlin sind große Städte.|London, Paris, and Berlin are big cities.|der;Stadt;erleuchten;nachts;in;tausend;Farbe
249.001|204|die|die Stadt|die Städte|Die Stadt erwacht mit den ersten Sonnenstrahlen.|city, town|town|The town awakens with the first rays of sun.|noun|London, Paris und Berlin sind große Städte.|London, Paris, and Berlin are big cities.|der;Stadt;erwachen;mit;der;erster;Sonnenstrahl
250|205|verb|spielen|spielen, spielt, spielte, hat gespielt|Wir müssen alle Rollen gut spielen, um Erfolg zu haben.|to play|to play|We need to play all roles well to succeed. |verb|Die Kinder spielen im Garten.|The children are playing in the garden.|wir;müssen;aller;Rolle;gut;spielen;um;Erfolg;zu;haben
251|206|adv|zwar||Es war zwar regnerisch, aber wir gingen trotzdem spazieren.|although, admittedly, namely|although|It was rainy, although we still went for a walk.|adverb|Wir kommen am Nachmittag an, und zwar um 14:37 Uhr.|We’ll arrive in the afternoon, at 2:37 pm to be precise.|es;sein;zwar;regnerisch;aber;wir;spazierengehen;trotzdem;spazieren
251.001|206|adv|zwar||Zwar war es schwierig, aber es hat sich gelohnt.|although, admittedly, namely|admittedly|Admittedly, it was difficult, but it was worth it.|adverb|Wir kommen am Nachmittag an, und zwar um 14:37 Uhr.|We’ll arrive in the afternoon, at 2:37 pm to be precise.|zwar;sein;es;schwierig;aber;es;haben;sich;lohnen
251.002|206|adv|zwar||Er hat zwar viel Arbeit, aber wenig Zeit.|although, admittedly, namely|namely|He has a lot of work, namely, but little time.|adverb|Wir kommen am Nachmittag an, und zwar um 14:37 Uhr.|We’ll arrive in the afternoon, at 2:37 pm to be precise.|er;haben;zwar;viel;Arbeit;aber;wenig;Zeit
252|207|der|der Euro|die Euros|Der Preis betrug 50 Euro, also nicht billig.|euro (unit of currency)|euro (unit of currency)|The price was 50 euros, so not cheap.|noun|In fast allen Ländern der EU kann man mit Euro bezahlen.|In almost all EU countries you can pay in euros.|der;Preis;betragen;50;Euro;also;nicht;billig
